estimand,level,unit,sex,age_band,estimate,lower,upper
low_income_household_share,state,3,,,0.33183491143448707,0.31416946575798843,0.3495003571109857
low_income_household_share,state,4,,,0.234400504558831,0.21375843245812903,0.25504257665953295
low_income_household_share,state,5,,,0.4508514422179627,0.41288801516332163,0.48881486927260376
mean_income_adults,county,0,,,19301.481137022034,15844.360950905237,22758.60132313883
mean_income_adults,county,1,,,16704.81040795212,13854.272536609116,19555.348279295125
mean_income_adults,county,2,,,24336.329248640966,19578.091027818857,29094.567469463076
mean_income_adults,county,3,,,22010.814900814225,18117.33214785774,25904.297653770707
mean_income_adults,county,4,,,21871.43176007891,17790.46713648244,25952.396383675383
mean_income_adults,county,5,,,17768.259499453445,14484.709263121571,21051.80973578532
mean_income_adults,county,6,,,18081.707458352645,14941.70875546944,21221.70616123585
mean_income_adults,county,7,,,17123.9360919939,14177.292248313446,20070.579935674352
mean_income_adults,county,8,,,17999.93216695704,14883.695764685432,21116.168569228652
mean_income_adults,county,9,,,15888.19942056396,13190.233417437908,18586.16542369001
mean_income_adults,county,10,,,14774.44305284915,12270.881165243261,17278.00494045504
mean_income_adults,county,11,,,17602.038430216795,14545.714744608724,20658.362115824868
mean_income_adults,county,12,,,19566.78791846585,16152.90097132043,22980.67486561127
mean_income_adults,county,13,,,18269.512086065628,15066.341492838583,21472.682679292673
mean_income_adults,county,14,,,23360.651845745706,19155.953730216308,27565.349961275104
mean_income_adults,county,15,,,16631.085792699974,13747.738258195654,19514.433327204293
mean_income_adults,county,16,,,17448.902071349494,14413.058232652058,20484.745910046928
mean_income_adults,nation,0,,,19783.864981176477,18993.026773930556,20574.703188422398
mean_income_adults,state,0,,,19301.481137022034,17933.833406873047,20669.12886717102
mean_income_adults,state,1,,,16943.687357295927,16220.67567664233,17666.699037949526
mean_income_adults,state,2,,,24336.329248640966,21764.518483531843,26908.14001375009
mean_income_adults,state,3,,,19645.88036394162,18572.459442678417,20719.30128520482
mean_income_adults,state,4,,,21871.431760078907,19945.362222870128,23797.501297287687
mean_income_adults,state,5,,,17768.259499453445,16272.103648033704,19264.415350873183
median_household_income,county,0,,,32587.960000000014,26751.076626098024,38424.843373902004
median_household_income,county,1,,,25287.944987118943,20972.766118647247,29603.12385559064
median_household_income,county,2,,,21589.740000000013,17368.514810447286,25810.96518955274
median_household_income,county,3,,,32452.272492352255,26711.80518968353,38192.73979502098
median_household_income,county,4,,,25334.62,20607.463172481606,30061.77682751839
median_household_income,county,5,,,17207.580000000005,14027.642574083997,20387.517425916012
median_household_income,county,6,,,21679.237549505677,17914.5058203957,25443.969278615652
median_household_income,county,7,,,27642.013322375497,22885.445209429057,32398.581435321936
median_household_income,county,8,,,29520.562781907458,24409.818391136996,34631.307172677916
median_household_income,county,9,,,25126.005687526827,20859.373116717055,29392.6382583366
median_household_income,county,10,,,19141.128249785328,15897.621946331288,22384.634553239368
median_household_income,county,11,,,29822.038055630106,24643.899079063573,35000.17703219664
median_household_income,county,12,,,20758.94533897792,17137.058454704966,24380.832223250873
median_household_income,county,13,,,27869.24249557215,22982.9632344299,32755.521756714403
median_household_income,county,14,,,27861.544831417832,22846.728214914263,32876.3614479214
median_household_income,county,15,,,16376.115345664868,13536.97228578077,19215.258405548968
median_household_income,county,16,,,19467.469482422995,16080.425584670555,22854.513380175435
median_household_income,nation,0,,,25552.7328956148,24617.711352079532,26487.75443915007
median_household_income,state,0,,,32587.960000000014,30278.87039139486,34897.04960860517
median_household_income,state,1,,,26347.946348670957,25216.498055109176,27479.39464223274
median_household_income,state,2,,,21589.740000000013,19308.182860440524,23871.2971395595
median_household_income,state,3,,,24568.504175722446,23158.297234619946,25978.711116824947
median_household_income,state,4,,,25334.619999999995,23103.570823428658,27565.669176571333
median_household_income,state,5,,,17207.580000000005,15758.635520853624,18656.524479146385
persons,county,0,,,10681.499457777529,7459.51012437455,13903.488791180507
persons,county,1,,,6641.68265067431,4959.985248587432,8323.38005276119
persons,county,2,,,8764.710229091874,6510.311130811548,11019.1093273722
persons,county,3,,,6745.320574586648,5144.511233992671,8346.129915180625
persons,county,4,,,5652.040806789691,3762.4737032462963,7541.607910333085
persons,county,5,,,3549.5130862627566,2285.4492165882903,4813.576955937223
persons,county,6,,,951.5862352857213,729.8017891556696,1173.3706814157729
persons,county,7,,,1239.794161153634,926.1925345002942,1553.3957878069737
persons,county,8,,,1565.1707153592254,1168.8082478606054,1961.5331828578453
persons,county,9,,,2754.4904315376316,2057.788818221771,3451.192044853492
persons,county,10,,,1022.0361134345794,763.7836561561265,1280.2885707130322
persons,county,11,,,2079.014913591274,1558.7706301019305,2599.259197080617
persons,county,12,,,1510.3114331120205,1158.3316635593033,1862.2912026647377
persons,county,13,,,2613.8730257663187,1952.4989154628915,3275.247136069746
persons,county,14,,,1167.0211147985801,838.6768215833679,1495.3654080137924
persons,county,15,,,4304.397165736797,3281.8915071667475,5326.902824306848
persons,county,16,,,2600.9610853920003,1932.1217014302836,3269.800469353717
persons,nation,0,,,63843.4232003506,56436.80658186345,71250.03981883774
persons,state,0,,,10681.499457777529,7945.305854300324,13417.693061254733
persons,state,1,,,17916.062011516973,14391.88253733902,21440.241485694925
persons,state,2,,,8764.710229091874,6994.550285473601,10534.870172710147
persons,state,3,,,17279.59760891177,14311.604269167126,20247.590948656412
persons,state,4,,,5652.040806789691,3990.704810576547,7313.376803002834
persons,state,5,,,3549.5130862627566,2418.92362150754,4680.102551017973
tertiary_share_25_plus,county,0,,,0.5266099166097933,0.5038064789216032,0.5494133542979833
tertiary_share_25_plus,county,1,,,0.44910028587960993,0.4248198633734426,0.4733807083857773
tertiary_share_25_plus,county,2,,,0.46413277992793556,0.44127911325426766,0.48698644660160345
tertiary_share_25_plus,county,3,,,0.47907808906665217,0.45491194832383725,0.5032442298094671
tertiary_share_25_plus,county,4,,,0.4828589526900134,0.458557722890794,0.5071601824892328
tertiary_share_25_plus,county,5,,,0.45727404686996215,0.42998217639787567,0.4845659173420486
tertiary_share_25_plus,county,6,,,0.3971033298402012,0.3569882388953179,0.4372184207850845
tertiary_share_25_plus,county,7,,,0.4108256397495721,0.37334670928983055,0.44830457020931364
tertiary_share_25_plus,county,8,,,0.3866868295232473,0.35290909906799206,0.4204645599785025
tertiary_share_25_plus,county,9,,,0.4214534693048871,0.39277512559316746,0.4501318130166067
tertiary_share_25_plus,county,10,,,0.3684266888363043,0.3292749972872633,0.40757838038534533
tertiary_share_25_plus,county,11,,,0.3933290652236512,0.36213252303773924,0.42452560740956313
tertiary_share_25_plus,county,12,,,0.36648002564418825,0.33311761364770454,0.39984243764067195
tertiary_share_25_plus,county,13,,,0.389689198483758,0.36006648710230144,0.41931190986521455
tertiary_share_25_plus,county,14,,,0.3920468661163231,0.354137285055949,0.42995644717669723
tertiary_share_25_plus,county,15,,,0.4190959655298721,0.3929002568096663,0.44529167425007793
tertiary_share_25_plus,county,16,,,0.3819915742560068,0.3526316803799729,0.41135146813204077
tertiary_share_25_plus,nation,0,,,0.4551603470785905,0.4343172496616095,0.47600344449557147
tertiary_share_25_plus,state,0,,,0.5266099166097933,0.5038064789216032,0.5494133542979833
tertiary_share_25_plus,state,1,,,0.41700703654704624,0.3953677566967217,0.4386463163973708
tertiary_share_25_plus,state,2,,,0.46413277992793556,0.44127911325426766,0.48698644660160345
tertiary_share_25_plus,state,3,,,0.4292944828302771,0.407598769691422,0.4509901959691322
tertiary_share_25_plus,state,4,,,0.4828589526900134,0.458557722890794,0.5071601824892328
tertiary_share_25_plus,state,5,,,0.4572740468699621,0.4299821763978756,0.48456591734204857
person_years_exposure,county,0,male,0-17,7218.006798404982,5669.4407928871815,9650.914033341704
person_years_exposure,county,0,male,18-44,7711.721022147204,6052.470405708889,10306.224746144444
person_years_exposure,county,0,male,45-64,6814.592605048669,5352.238771016974,9030.067287434498
person_years_exposure,county,0,male,65-74,2123.9037036622667,1668.220783356094,2827.664086818436
person_years_exposure,county,0,male,75-84,1037.5691130432488,789.135419498251,1385.645895492782
person_years_exposure,county,0,male,85+,241.90906595708682,153.13632281481839,341.33354938100894
person_years_exposure,county,0,male,18-64,14526.313627195872,11406.675757632294,19336.292033578942
person_years_exposure,county,0,male,65+,3403.3818826626025,2652.0672800150674,4517.665806112893
mortality_rate,county,0,male,0-17,0.0007774068772337507,0.00013854731973518864,0.001756098098405504
mortality_rate,county,0,male,18-44,0.0008752276825582971,0.0001451298394904017,0.002035159362038868
mortality_rate,county,0,male,45-64,0.004402174154222349,0.0013577724599813643,0.009080201175281934
mortality_rate,county,0,male,65-74,0.020768297171472962,0.006589817352482474,0.04297936557740712
mortality_rate,county,0,male,75-84,0.05397152486832541,0.0185693451958041,0.11782481752638627
mortality_rate,county,0,male,85+,0.1150827436086147,0.03737270919156071,0.2682981991301476
qualifying_event_rate,county,0,male,0-17,0.01572090966131746,0.010413494602043345,0.02201469326066759
qualifying_event_rate,county,0,male,18-44,0.01780543493218432,0.012176534775974222,0.025019814965452355
qualifying_event_rate,county,0,male,45-64,0.03345832921011008,0.023719552070322367,0.04613037924675451
qualifying_event_rate,county,0,male,65-74,0.057044824882990994,0.039396479458094866,0.07794777768928185
qualifying_event_rate,county,0,male,75-84,0.05188362743544196,0.03436412742093184,0.0723273774673534
qualifying_event_rate,county,0,male,85+,0.055729190861510784,0.028957916318430265,0.08999755285749492
person_years_exposure,county,0,female,0-17,7384.887127633963,5800.521072615915,9867.146248406938
person_years_exposure,county,0,female,18-44,7792.286098312877,6120.0842915964195,10426.466543997962
person_years_exposure,county,0,female,45-64,6822.880876721947,5361.2027820240655,9061.463575056103
person_years_exposure,county,0,female,65-74,2070.8635826884224,1626.807105179443,2751.1696592128023
person_years_exposure,county,0,female,75-84,1033.7560945838018,781.9626960881378,1383.3890166843596
person_years_exposure,county,0,female,85+,165.80057037322788,103.55549313584184,240.5404558484348
person_years_exposure,county,0,female,18-64,14615.166975034823,11490.357468408367,19515.210204148207
person_years_exposure,county,0,female,65+,3270.420247645452,2548.045365178829,4349.807229082167
mortality_rate,county,0,female,0-17,0.0006063772223401214,0.0,0.001427120290096168
mortality_rate,county,0,female,18-44,0.0006535033611448816,0.0001233824760160203,0.0015179723335028727
mortality_rate,county,0,female,45-64,0.004344226032125979,0.0013417382593669148,0.00897646778265111
mortality_rate,county,0,female,65-74,0.021314373638725136,0.007007605303745359,0.04503673880627282
mortality_rate,county,0,female,75-84,0.05737670761427899,0.020602229308115103,0.12447503907370239
mortality_rate,county,0,female,85+,0.1126325651594072,0.036058337953980286,0.27670159893611357
qualifying_event_rate,county,0,female,0-17,0.01482143030110442,0.010081621744460097,0.02107507827293663
qualifying_event_rate,county,0,female,18-44,0.018993205127991113,0.012889531442035694,0.02632452659174415
qualifying_event_rate,county,0,female,45-64,0.03177304357545866,0.021968832404318454,0.04340351616442944
qualifying_event_rate,county,0,female,65-74,0.05021564286660985,0.03455133619919828,0.06981150738929864
qualifying_event_rate,county,0,female,75-84,0.05825993312968742,0.03895414110009413,0.08211476008635851
qualifying_event_rate,county,0,female,85+,0.06654949509088535,0.033896917721333346,0.10716284706923228
person_years_exposure,county,1,male,0-17,5214.205418226277,4289.770904721057,6362.135245112358
person_years_exposure,county,1,male,18-44,5290.419953233602,4343.207874007196,6442.185347189493
person_years_exposure,county,1,male,45-64,4511.133501011815,3701.040395053598,5499.904079885863
person_years_exposure,county,1,male,65-74,1488.3454612697492,1211.082646429258,1837.6110321922577
person_years_exposure,county,1,male,75-84,647.6232063590865,499.9144634116554,826.248467405951
person_years_exposure,county,1,male,85+,126.42724884137657,80.92429776578567,175.26762854425309
person_years_exposure,county,1,male,18-64,9801.553454245417,8048.576574466579,11930.715343827274
person_years_exposure,county,1,male,65+,2262.3959164702123,1814.6235267594789,2826.5502512070475
mortality_rate,county,1,male,0-17,0.0015479422874838753,0.0003470545255755802,0.003522851085008149
mortality_rate,county,1,male,18-44,0.001143539594395006,0.000194689997690478,0.0026285782015343716
mortality_rate,county,1,male,45-64,0.005624647364250892,0.0018248032180950852,0.011772502430033423
mortality_rate,county,1,male,65-74,0.020753697766275316,0.006806566223731972,0.04383758422910042
mortality_rate,county,1,male,75-84,0.05539228626474073,0.01863452022277493,0.12292896321725127
mortality_rate,county,1,male,85+,0.11019015780716901,0.03531250180351411,0.2746713963159586
qualifying_event_rate,county,1,male,0-17,0.0139510522714495,0.009360023645689282,0.01983412302940281
qualifying_event_rate,county,1,male,18-44,0.020122697342047715,0.013843005360966021,0.02827704880581887
qualifying_event_rate,county,1,male,45-64,0.03395916700384496,0.023704675532715828,0.04698798395025418
qualifying_event_rate,county,1,male,65-74,0.0580726257145383,0.040489479335169117,0.07981970337167403
qualifying_event_rate,county,1,male,75-84,0.05202356362610677,0.03305329687394303,0.07535163280741258
qualifying_event_rate,county,1,male,85+,0.05378895886303354,0.021257289523944317,0.09241559451159168
person_years_exposure,county,1,female,0-17,4856.048255310828,4002.8020993391638,5927.959419728197
person_years_exposure,county,1,female,18-44,5034.326528773551,4129.678362211546,6121.191912371255
person_years_exposure,county,1,female,45-64,4829.726311204,3971.6077232545126,5886.372234434756
person_years_exposure,county,1,female,65-74,1473.8906695378869,1192.7267154483397,1816.3035305688663
person_years_exposure,county,1,female,75-84,610.6449422016237,473.77344924013244,779.7423504003647
person_years_exposure,county,1,female,85+,129.5852484846876,81.06217750751512,180.91963800754735
person_years_exposure,county,1,female,18-64,9864.05283997755,8127.235928366503,12000.346245313434
person_years_exposure,county,1,female,65+,2214.120860224198,1773.079920044637,2765.258427039107
mortality_rate,county,1,female,0-17,0.002560032349638229,0.0006933381485874292,0.005463469553825089
mortality_rate,county,1,female,18-44,0.0006214173734797724,0.0,0.0015258351179224963
mortality_rate,county,1,female,45-64,0.004702526105840179,0.0014642849570380588,0.009892203248509934
mortality_rate,county,1,female,65-74,0.020473554703661363,0.006385214027292338,0.044349728096182976
mortality_rate,county,1,female,75-84,0.05880942782420043,0.019913187026358876,0.12933742625958572
mortality_rate,county,1,female,85+,0.10961295287361959,0.03631573805796888,0.275289219816134
qualifying_event_rate,county,1,female,0-17,0.014803040160305985,0.009771857437008728,0.0212172553180563
qualifying_event_rate,county,1,female,18-44,0.022099646358180125,0.01525325317614873,0.030717824609862422
qualifying_event_rate,county,1,female,45-64,0.0335484403702904,0.023507013480604657,0.046198964221298384
qualifying_event_rate,county,1,female,65-74,0.05373513020208053,0.037504398539484264,0.07413961817675858
qualifying_event_rate,county,1,female,75-84,0.05990885546917557,0.038805845307641064,0.08566004305259772
qualifying_event_rate,county,1,female,85+,0.06449874515718369,0.02874776644057924,0.10811505789303891
person_years_exposure,county,2,male,0-17,7447.347540524663,5959.467493935662,9028.416131643871
person_years_exposure,county,2,male,18-44,6885.510088225107,5528.830349607515,8420.837330201346
person_years_exposure,county,2,male,45-64,6624.591403827409,5320.492890209893,8109.620329625892
person_years_exposure,county,2,male,65-74,1993.3503059470938,1586.9542648620477,2451.118317899438
person_years_exposure,county,2,male,75-84,947.1663313499141,717.3602580039292,1200.7010399278795
person_years_exposure,county,2,male,85+,223.1379462879001,140.39989502099297,306.4796341777635
person_years_exposure,county,2,male,18-64,13510.101492052516,10849.420524155443,16563.333928994824
person_years_exposure,county,2,male,65+,3163.654583584908,2472.772858575779,3951.8778075375485
mortality_rate,county,2,male,0-17,0.001070601914018947,0.000232342117304475,0.002445482003412024
mortality_rate,county,2,male,18-44,0.0008565031293157543,0.00014595530233109524,0.001963037293024683
mortality_rate,county,2,male,45-64,0.0042598440933573406,0.0013979557251322524,0.009210109466185716
mortality_rate,county,2,male,65-74,0.020500534187007372,0.0069572244286355825,0.043745937875002555
mortality_rate,county,2,male,75-84,0.053360752150906944,0.01862602240622466,0.11906298047832785
mortality_rate,county,2,male,85+,0.11274270060836324,0.03982802942822499,0.2733788270380668
qualifying_event_rate,county,2,male,0-17,0.024135913380992392,0.01662642298164748,0.03339160184553867
qualifying_event_rate,county,2,male,18-44,0.03119003161595962,0.021847142849836958,0.04241842079190418
qualifying_event_rate,county,2,male,45-64,0.050625690140675667,0.0365990399629697,0.06788499342666988
qualifying_event_rate,county,2,male,65-74,0.08207194894101674,0.0594162285365159,0.10851943250853273
qualifying_event_rate,county,2,male,75-84,0.09220774553369397,0.06571047829707355,0.12416856889586864
qualifying_event_rate,county,2,male,85+,0.08524368586080368,0.0526425120181484,0.12491838452032973
person_years_exposure,county,2,female,0-17,7074.324988275667,5662.901345217778,8593.918666016072
person_years_exposure,county,2,female,18-44,7126.222454544017,5720.185573667622,8675.508510718362
person_years_exposure,county,2,female,45-64,6833.567693911894,5486.612897911668,8339.192080434172
person_years_exposure,county,2,female,65-74,2201.2478211052003,1753.6598523102116,2696.4643858850172
person_years_exposure,county,2,female,75-84,948.6079107324356,713.8679332987981,1201.9945607262698
person_years_exposure,county,2,female,85+,199.6499130878566,124.48434539890198,275.3431591873337
person_years_exposure,county,2,female,18-64,13959.790148455912,11218.914603160001,17071.546505137398
person_years_exposure,county,2,female,65+,3349.5056449254926,2618.0634317539043,4164.997539706623
mortality_rate,county,2,female,0-17,0.0018493648276242,0.00048221013453097247,0.004048078160588745
mortality_rate,county,2,female,18-44,0.000577751750841666,0.0,0.0013883148601888068
mortality_rate,county,2,female,45-64,0.004633391966608977,0.001468219166245344,0.009667669381755497
mortality_rate,county,2,female,65-74,0.01867992337380484,0.0062573959572713046,0.03990426469064252
mortality_rate,county,2,female,75-84,0.0548313441396347,0.019507892643486728,0.12298769497390986
mortality_rate,county,2,female,85+,0.11853908817317643,0.03893817549141667,0.28450777506534664
qualifying_event_rate,county,2,female,0-17,0.02217208558024305,0.015144178401601309,0.030872741523986388
qualifying_event_rate,county,2,female,18-44,0.034956379089023194,0.02457916641874834,0.047699308013061235
qualifying_event_rate,county,2,female,45-64,0.05472532870559307,0.039572785846116246,0.07334271786348341
qualifying_event_rate,county,2,female,65-74,0.08090293179908115,0.05915055173988583,0.10805383502780166
qualifying_event_rate,county,2,female,75-84,0.08478524892833643,0.059315683234551074,0.11529906249588877
qualifying_event_rate,county,2,female,85+,0.09322381863959762,0.05740637547486228,0.1399093711212682
person_years_exposure,county,3,male,0-17,4624.80135848974,3829.892181426018,5432.941458248676
person_years_exposure,county,3,male,18-44,4871.454441399992,4033.6326470509944,5708.939714707738
person_years_exposure,county,3,male,45-64,4917.378541735167,4059.9823285620764,5781.811523107272
person_years_exposure,county,3,male,65-74,1465.4431456114073,1184.9286597765044,1756.311901635563
person_years_exposure,county,3,male,75-84,709.0625480890056,545.3851946001167,871.6623606853208
person_years_exposure,county,3,male,85+,134.57618214151248,86.35510179470997,179.68286745916885
person_years_exposure,county,3,male,18-64,9788.832983135158,8096.361907417543,11485.457130456854
person_years_exposure,county,3,male,65+,2309.0818758419255,1843.0116691921335,2785.9656916919575
mortality_rate,county,3,male,0-17,0.0010523044865086387,0.00019307811647703,0.0024374862290755255
mortality_rate,county,3,male,18-44,0.0010664807733492701,0.00019684973062228774,0.0024816048499097117
mortality_rate,county,3,male,45-64,0.004846590379198335,0.0015859978481779415,0.01016663106919032
mortality_rate,county,3,male,65-74,0.020445967101131845,0.006527601290503227,0.044013809218637595
mortality_rate,county,3,male,75-84,0.05447044762192069,0.018306246945585657,0.12032563021275086
mortality_rate,county,3,male,85+,0.10886089616457346,0.032697290093861464,0.2745771869812353
qualifying_event_rate,county,3,male,0-17,0.019315863390762363,0.012944511368318715,0.027344106832720688
qualifying_event_rate,county,3,male,18-44,0.029840813623769228,0.021030910386823497,0.04125960661706712
qualifying_event_rate,county,3,male,45-64,0.04244820384421641,0.030258965919853626,0.05860128965204726
qualifying_event_rate,county,3,male,65-74,0.06956253588652117,0.04869490987300575,0.09501489329557032
qualifying_event_rate,county,3,male,75-84,0.0733757144907131,0.05021938441547751,0.10236363329888788
qualifying_event_rate,county,3,male,85+,0.07196897592434184,0.03450693779477788,0.11655260410378288
person_years_exposure,county,3,female,0-17,4583.425906304919,3791.190808603822,5403.6625477748885
person_years_exposure,county,3,female,18-44,4765.3800635829375,3944.0134326825473,5589.112730164906
person_years_exposure,county,3,female,45-64,4738.209140480222,3918.2204799771807,5588.978744501631
person_years_exposure,county,3,female,65-74,1370.8698422219456,1107.494135113648,1637.396953258802
person_years_exposure,county,3,female,75-84,764.2550053889389,589.8531067687019,934.8487675277582
person_years_exposure,county,3,female,85+,168.58007867873957,105.5741721391323,226.381716882348
person_years_exposure,county,3,female,18-64,9503.589204063159,7861.515312124844,11161.330010884554
person_years_exposure,county,3,female,65+,2303.704926289624,1831.367896095934,2789.3930685314876
mortality_rate,county,3,female,0-17,0.0018378890151605283,0.0004290973839113492,0.003997444597439304
mortality_rate,county,3,female,18-44,0.000687637801188566,0.0,0.0017097631574145898
mortality_rate,county,3,female,45-64,0.004959473662050795,0.0014997259747265657,0.010296220740901077
