estimand,level,unit,estimate,lower,upper
elders_65_plus,county,5,214.8960999809296,212.7471389811203,217.0450609807389
elders_65_plus,county,6,357.6663794753078,354.0897156805547,361.24304327006087
elders_65_plus,county,7,170.09441266748308,168.39346854080824,171.79535679415793
elders_65_plus,county,8,195.58192338351566,193.62610414968051,197.5377426173508
elders_65_plus,county,9,241.4828147466622,239.0679865991956,243.8976428941288
elders_65_plus,county,10,208.80787170142483,206.7197929844106,210.89595041843907
elders_65_plus,county,11,551.35477723443,545.8412294620857,556.8683250067743
elders_65_plus,county,12,303.61754836945494,300.5813728857604,306.6537238531495
elders_65_plus,county,13,214.93747926890268,212.78810447621365,217.0868540615917
elders_65_plus,county,14,227.14870939504252,224.8772223010921,229.42019648899293
elders_65_plus,county,15,394.4172049694076,390.4730329197135,398.36137701910167
elders_65_plus,county,16,517.7261643311368,512.5489026878255,522.9034259744482
elders_65_plus,nation,0,5479.99622239603,5425.19626017207,5534.7961846199905
elders_65_plus,state,0,1396.1326551434254,1382.1713285919911,1410.0939816948596
elders_65_plus,state,1,1225.0684530510148,1212.8177685205046,1237.319137581525
elders_65_plus,state,2,1184.7686672191337,1172.9209805469425,1196.616353891325
elders_65_plus,state,3,701.0628599348514,694.0522313355029,708.0734885341999
elders_65_plus,state,4,758.067487066675,750.4868121960083,765.6481619373417
elders_65_plus,state,5,214.8960999809296,212.7471389811203,217.0450609807389
households,county,0,2777.918533604888,2750.139348268839,2805.697718940937
households,county,1,2930.048370672098,2900.747886965377,2959.348854378819
households,county,2,1457.075483706721,1442.5047288696537,1471.646238543788
households,county,3,981.5278767820773,971.7125980142565,991.3431555498981
households,county,4,1778.2962067209776,1760.5132446537677,1796.0791687881874
households,county,5,1002.8394857433808,992.811090885947,1012.8678806008146
households,county,6,1792.8713085539716,1774.9425954684318,1810.8000216395114
households,county,7,968.2517820773932,958.5692642566192,977.9342998981671
households,county,8,1096.8271384928717,1085.8588671079428,1107.7954098778005
households,county,9,1403.015784114053,1388.9856262729124,1417.0459419551937
households,county,10,1121.1582230142565,1109.946640784114,1132.369805244399
households,county,11,2709.19666496945,2682.1046983197557,2736.2886316191443
households,county,12,1620.0724287169044,1603.8717044297352,1636.2731530040735
households,county,13,1132.5362780040734,1121.2109152240328,1143.8616407841141
households,county,14,1079.5063645621183,1068.711300916497,1090.3014282077395
households,county,15,2134.8389765784113,2113.490586812627,2156.1873663441957
households,county,16,2531.7930244399186,2506.4750941955194,2557.1109546843177
households,nation,0,28517.773930753563,28232.596191446028,28802.9516700611
households,state,0,7653.98816191446,7577.448280295315,7730.528043533604
households,state,1,6736.07217413442,6668.711452393075,6803.432895875764
households,state,2,6040.385692464359,5979.981835539716,6100.789549389002
households,state,3,3513.320901221996,3478.187692209776,3548.454110234216
households,state,4,3571.1675152749494,3535.4558401222,3606.879190427699
households,state,5,1002.8394857433808,992.811090885947,1012.8678806008146
low_income_household_share,county,0,0.39638031146147085,0.38638031146147084,0.40638031146147086
low_income_household_share,county,1,0.31004231306199104,0.30004231306199103,0.32004231306199105
low_income_household_share,county,2,0.3382115157828709,0.3282115157828709,0.3482115157828709
low_income_household_share,county,3,0.4152358896763879,0.4052358896763879,0.4252358896763879
low_income_household_share,county,4,0.33286843528980103,0.322868435289801,0.34286843528980104
low_income_household_share,county,5,0.4515356673058492,0.4415356673058492,0.4615356673058492
low_income_household_share,county,6,0.3324819117065637,0.3224819117065637,0.3424819117065637
low_income_household_share,county,7,0.3284653078773533,0.3184653078773533,0.3384653078773533
low_income_household_share,county,8,0.329960410156946,0.319960410156946,0.339960410156946
low_income_household_share,county,9,0.31685928503863714,0.30685928503863713,0.32685928503863715
low_income_household_share,county,10,0.46660953085840584,0.45660953085840583,0.47660953085840585
low_income_household_share,county,11,0.294768849435114,0.284768849435114,0.304768849435114
low_income_household_share,county,12,0.44963892429754415,0.43963892429754414,0.45963892429754416
low_income_household_share,county,13,0.3236876777537085,0.3136876777537085,0.3336876777537085
low_income_household_share,county,14,0.3054780821923769,0.29547808219237687,0.3154780821923769
low_income_household_share,county,15,0.40677807616375516,0.39677807616375516,0.4167780761637552
low_income_household_share,county,16,0.3560348296718152,0.3460348296718152,0.3660348296718152
low_income_household_share,nation,0,0.35620889106250786,0.34620889106250785,0.36620889106250787
low_income_household_share,state,0,0.4186218977864738,0.4086218977864738,0.4286218977864738
low_income_household_share,state,1,0.3070147123389641,0.2970147123389641,0.3170147123389641
low_income_household_share,state,2,0.3231318102416169,0.3131318102416169,0.3331318102416169
low_income_household_share,state,3,0.37146811884234127,0.36146811884234126,0.3814681188423413
low_income_household_share,state,4,0.3326663192822347,0.3226663192822347,0.34266631928223473
low_income_household_share,state,5,0.4515356673058492,0.4415356673058492,0.4615356673058492
mean_income_adults,county,0,28370.48510236482,28086.78025134117,28654.189953388468
mean_income_adults,county,1,30135.921625125637,29834.56240887438,30437.280841376894
mean_income_adults,county,2,24522.98124075195,24277.75142834443,24768.21105315947
mean_income_adults,county,3,27894.077563431347,27615.136787797033,28173.01833906566
mean_income_adults,county,4,28083.33800968994,27802.50462959304,28364.171389786836
mean_income_adults,county,5,24609.96827830316,24363.86859552013,24856.06796108619
mean_income_adults,county,6,29790.69354124059,29492.786605828183,30088.600476653
mean_income_adults,county,7,24774.537643937874,24526.792267498495,25022.283020377254
mean_income_adults,county,8,30373.251023387973,30069.518513154093,30676.983533621853
mean_income_adults,county,9,29755.03362110658,29457.483284895516,30052.583957317645
mean_income_adults,county,10,25757.184681973053,25499.612835153323,26014.756528792783
mean_income_adults,county,11,30881.53939023208,30572.723996329758,31190.3547841344
mean_income_adults,county,12,27351.409557029787,27077.895461459488,27624.923652600086
mean_income_adults,county,13,26016.18445945827,25756.022614863687,26276.34630405285
mean_income_adults,county,14,26752.51731651426,26484.992143349114,27020.042489679403
mean_income_adults,county,15,27969.159629017573,27689.468032727396,28248.85122530775
mean_income_adults,county,16,33990.948948925026,33651.03945943578,34330.858438414274
mean_income_adults,nation,0,28781.420794336675,28493.606586393307,29069.235002280042
mean_income_adults,state,0,27722.404840729618,27445.18079232232,27999.628889136915
mean_income_adults,state,1,30464.67352849315,30160.026793208217,30769.32026377808
mean_income_adults,state,2,26475.318258352356,26210.56507576883,26740.07144093588
mean_income_adults,state,3,32401.53857146622,32077.523185751557,32725.55395718088
mean_income_adults,state,4,28976.12669969172,28686.3654326948,29265.887966688635
mean_income_adults,state,5,24609.96827830316,24363.86859552013,24856.06796108619
median_household_income,county,0,26780.96215257613,26513.152531050368,27048.77177410189
median_household_income,county,1,33768.81708915221,33431.128918260685,34106.505260043734
median_household_income,county,2,20130.853400657885,19929.544866651308,20332.161934664462
median_household_income,county,3,20280.314811131506,20077.511663020192,20483.11795924282
median_household_income,county,4,32598.488554537667,32272.50366899229,32924.47344008304
median_household_income,county,5,16886.27,16717.4073,17055.132700000002
median_household_income,county,6,32933.34607066163,32604.012609955014,33262.679531368245
median_household_income,county,7,21354.06637962952,21140.525715833224,21567.607043425814
median_household_income,county,8,27637.37886063228,27361.005072025957,27913.752649238606
median_household_income,county,9,25272.692926566055,25019.965997300395,25525.419855831715
median_household_income,county,10,18070.500925147822,17889.795915896346,18251.2059343993
median_household_income,county,11,36390.687665855294,36026.78078919674,36754.59454251385
median_household_income,county,12,20501.4333453488,20296.419011895312,20706.447678802288
median_household_income,county,13,23060.31687710085,22829.71370832984,23290.92004587186
median_household_income,county,14,25601.8712044271,25345.85249238283,25857.889916471373
median_household_income,county,15,25658.61492374372,25402.02877450628,25915.20107298116
median_household_income,county,16,33100.9858994206,32769.976040426394,33431.99575841481
median_household_income,nation,0,28101.69,27820.6731,28382.706899999997
median_household_income,state,0,23985.47,23745.6153,24225.3247
median_household_income,state,1,34389.04,34045.149600000004,34732.9304
median_household_income,state,2,22890.5,22661.595,23119.405
median_household_income,state,3,29316.79,29023.6221,29609.9579
median_household_income,state,4,32771.86,32444.1414,33099.5786
median_household_income,state,5,16886.27,16717.4073,17055.132700000002
persons,county,0,5333.9782082324455,5280.638426150121,5387.31799031477
persons,county,1,5688.76347648783,5631.875841722952,5745.651111252709
persons,county,2,2553.80744233465,2528.2693679113036,2579.345516757997
persons,county,3,1658.6882885179052,1642.1014056327263,1675.2751714030842
persons,county,4,2951.411622276029,2921.897506053269,2980.925738498789
persons,county,5,1593.4404230916275,1577.5060188607113,1609.3748273225438
persons,county,6,3234.8320377214222,3202.483717344208,3267.1803580986366
persons,county,7,1625.0448579074807,1608.794409328406,1641.2953064865555
persons,county,8,1861.568370077737,1842.9526863769595,1880.1840537785145
persons,county,9,2475.3061042436602,2450.5530432012238,2500.0591652860967
persons,county,10,1764.7160698356063,1747.06890913725,1782.3632305339625
persons,county,11,4894.574614502358,4845.628868357334,4943.5203606473815
persons,county,12,2610.899324582643,2584.790331336817,2637.0083178284694
persons,county,13,1921.7187460175865,1902.5015585574106,1940.9359334777623
persons,county,14,1853.4123868994523,1834.8782630304577,1871.9465107684468
persons,county,15,3970.909519561616,3931.200424366,4010.618614757232
persons,county,16,4703.928507709953,4656.8892226328535,4750.9677927870525
persons,nation,0,50697.0,50190.03,51203.97
persons,state,0,13680.50312221231,13543.698090990187,13817.308153434435
persons,state,1,12444.906461067925,12320.457396457246,12569.355525678604
persons,state,2,10429.289537402829,10324.9966420288,10533.582432776857
persons,state,3,6362.616796227858,6298.990628265579,6426.242964190136
persons,state,4,6186.243659997452,6124.381223397477,6248.106096597427
persons,state,5,1593.4404230916275,1577.5060188607113,1609.3748273225438
tertiary_share_25_plus,county,0,0.5447510163758232,0.5347510163758232,0.5547510163758232
tertiary_share_25_plus,county,1,0.48977856226871297,0.47977856226871296,0.499778562268713
tertiary_share_25_plus,county,2,0.42902958923827356,0.41902958923827355,0.43902958923827357
tertiary_share_25_plus,county,3,0.4325769985284586,0.4225769985284586,0.4425769985284586
tertiary_share_25_plus,county,4,0.43232822384406633,0.4223282238440663,0.44232822384406634
tertiary_share_25_plus,county,5,0.4018749418727416,0.3918749418727416,0.4118749418727416
tertiary_share_25_plus,county,6,0.4442684695933329,0.4342684695933329,0.4542684695933329
tertiary_share_25_plus,county,7,0.45110279434713163,0.4411027943471316,0.46110279434713164
tertiary_share_25_plus,county,8,0.4493627591429003,0.4393627591429003,0.4593627591429003
tertiary_share_25_plus,county,9,0.47760929225478277,0.46760929225478276,0.4876092922547828
tertiary_share_25_plus,county,10,0.42460278582388095,0.41460278582388094,0.43460278582388095
tertiary_share_25_plus,county,11,0.44402058343704603,0.434020583437046,0.45402058343704604
tertiary_share_25_plus,county,12,0.45349770402683603,0.443497704026836,0.46349770402683604
tertiary_share_25_plus,county,13,0.4360573621916594,0.4260573621916594,0.4460573621916594
tertiary_share_25_plus,county,14,0.4265002307375593,0.4165002307375593,0.43650023073755934
tertiary_share_25_plus,county,15,0.47544285162284716,0.46544285162284715,0.48544285162284717
tertiary_share_25_plus,county,16,0.46896307956170513,0.4589630795617051,0.47896307956170514
tertiary_share_25_plus,nation,0,0.46234260066541083,0.4523426006654108,0.47234260066541084
tertiary_share_25_plus,state,0,0.49171954746601304,0.48171954746601303,0.501719547466013
tertiary_share_25_plus,state,1,0.46573638699911757,0.45573638699911756,0.4757363869991176
tertiary_share_25_plus,state,2,0.4448443810261919,0.4348443810261919,0.4548443810261919
tertiary_share_25_plus,state,3,0.4594774907846645,0.4494774907846645,0.4694774907846645
tertiary_share_25_plus,state,4,0.43857186564203754,0.42857186564203753,0.44857186564203755
tertiary_share_25_plus,state,5,0.4018749418727416,0.3918749418727416,0.4118749418727416
